,Subject,Content
1596,FW: 2009-07-10 JJS speech 2 - AMS edits,Per your request here are AMS comments in text and general below Oscar should print for you so you can see the red line as it will not show up on your bb cdm
1597,Re: Thanks,Secretary Clinton Thank you Will update you when I hear from her and if there is anything else I should do let me know All best ps Saw that Foreign Minister Yeo was on your schedule today Fyi he is one of my favorite Singaporeans because of this speech on China which he posted to his blog Foreign Minister Yeo s speech at a dinner organised by the Lee Kuan Yew School of Public Policy on which he gave off the cuff Thank you Kishore for your kind words Dear friends ladies and gentlemen I was in India two weeks ago had a good trip spent nine days there While in Calcutta after calling on the Chief Minister I had a bit of time to look around so I attended a mass at Mother Theresa s house Very interesting gathering there was a Singapore nun there she had been there for over ten years Sister Tony I wondered why someone from Singapore would want to dedicate her life to picking up the dead and the dying in the back alleys of Calcutta and living that life There were many nuns there who were in their ninth year They take their first vow in the fifth year renewable every year In the tenth year they have to decide final vows for eternity So if you are not sure please there s a way out if you are sure then you re in the room So the priest gave a very tough sermon and while he was talking I could hear the din of traffic noise outside in the streets of Calcutta Then suddenly I heard the call of the muezzin Now this is a Hindu city I told myself I thought wow what diversity in this country India and its ability to internalise this diversity and to find it unremarkable that the tiny woman from Albania should come their midst become one of them and then when she was beatified was celebrated as an Indian on the way to canonization China and India in that comparison China is not India China has a very different sense of itself its deep internal construction is very different Superficially there are similarities as there is between China and the US and China and Europe But if you look it s deep construction it is very different When we talk about China s future and China in the st century how China will behave in a world community China s attitudes towards democracy towards law towards social justice It is important first to look this deep construction because that is their nature Naturally we should not be deterministic there is nothing inevitable in human history but when we understand its nature it becomes easier to anticipate its moves and you ll be less suprised by its actions A few years ago the Chinese government embarked on a major project which is its dynastic duty to write the history of the Qing dynasty the Manchus from to Ever since the Han dynasty roughly contemporaneous with the Roman Empire they developed a historiographic tradition of each dynasty writing the history of the previous period So Sima Qian of the Later Han wrote of the earlier Han and the entire period before that then later on they wrote about the Later Han Jin wrote up the Three Kingdoms Ming wrote up the Yuan The Yuan which was Mongol in its origins wrote up the Sung Sung wrote up the Tang dynasty which was the Classical Period The last dynasty the Qing collapsed in the Republican Revolution of this is now I think in they embarked on this project The Official History of the Qing dynasty When the former Vice Premier Li Lanqing was in Singapore recently I asked him about it He said we told the scholars not to rush this project I asked him how long it would take to write this history He said it would take many years easily years I said have you collected the material He said yes I asked external sources He said yes external sources too All the countries the Vatican European countries the whole lot all assembled official histories this would be the th And Li s instruction to them was not to be too quick to draw conclusions Now Mao Tze Tung was a revolutionary he was a great revolutionary He overturned everything before but he knew his history he read the histories and not only did he read them he annotated them But he wrote with a terrible illegible scrawl so scholars had to decipher those scrawls Then they wrote commentaries on his commentaries and now it s all published It is very difficult for the Chinese to depart from their own history because it s the same great plains the same mountains more or less the same neighbours more or less and they have seen the same patterns recur So a long time ago during the Ming dynasty they wrote up the romantic period of the Three Kingdoms The first line said Below heaven great movements great currents long disunity leads to unity and long unity leads to disunity So they accept as a part of their own deep nature that there are cycles in their civilisation that they have ups and downs In recent years when you visit them you could sense them feeling their own re emergence it s a bit scary In the initial years they were lacking in confidence they asked many questions but now they know that there is an organic vitality It is like an adolescent who watches his own development and conscious of it I say scary because for those of us who live on the periphery of that empire what happens there will radiate its influence on us and eventually to a greater or lesser degree envelope us How do we see China I think to begin with it s important not to try and from an intellectual viewpoint transpose our own experiences on to China because I believe it will develop according to its own logic according to its own DNA It is growing now it will continue to grow it will develop its own contradictions and one day those contradictions many years from now will lead to its own decline So they say at the beginning of a dynasty the taxes are light but the treasury is full and at the end of a dynasty the taxes are crushing but the treasury is empty The important thing to realise about China is that some things are deeply resistant to change Take Confucius Every time they had to overturn a dynasty they had to overturn Confucius because Confucius justified the status quo So throughout the th century whether it was the Taiping Revolution the Communist movement or Sun Yat Sen they spent their lives debunking Confucius It reached its final moment when they criticised Zhou Enlai together with Confucius no Lin Biao together with Confucius That was the last paroxysm Today Hu Jingtao said in Mandarin He Xie She Hui harmonious society Suddenly you hear the resonance of Confucius coming back And everywhere in the world on the pattern of Alliance Francaise the Goethe Institute the USIA they establish Confucius Institutes and the learning of the Confucianist classics are coming back with remarkable force in China not yet in the state curriculum but just parents wanting to teach their children the Confucianist ditties Now why is this important From Mao to Deng to Jiang Zemin at every stage they re interpreted Marx They are comfortable with the young Marx the idea of the superstructure on the economic base the idea that politics is concentrated economics that they like But the class struggle they downplay They talk about the Three Represents the progressive forces the progressive elements they nurture those Now Hu Jingtao says harmonious society peaceful re emergence This mindset has a certain attitude towards law has a certain attitude towards religion towards democracy and towards foreign policy and I would like to deal with each in turn Joseph Needham many years ago I think in the s the man who wrote The Science and Civilisation of China that great encyclopedic work he said its not that the Chinese have no legal tradition In fact by his estimation the Chinese had a greater corpus of legal codification than the West A greater corpus of legal codification than the West Surprise surprise But the idea that the Emperor is below the law that is completely alien to their thinking Where did that idea come from Well in the West you may trace it back to Hammurabi you may trace it back to Moses to Greece to Rome But if you trace the evolution of that DNA it goes back way back its early beginnings The Chinese had a very different evolutionary starting point It was not in law it was in an idea they call i which is proper conduct among human beings They believe deep in their instincts that law is only a means towards justice and that when the outcome of law is perverse then that law must be overridden because justice proper conduct the proper relationship among human beings must take precedence And to suddenly say that all that had happened in the previous dynasties all that the earlier histories have summarised are all wrong and that they should instead adopt something with its origins in Western Europe which had as its crowning moment the crowning of Charlemagne by the Pope in the year to them what are you talking about For the Chinese laws are more like regulations means towards a larger end Their attitude towards democracy follows a parallel pattern Democracy is not an end in itself democracy is a means and they are quite happy to consider democracy as a useful means towards government and that at appropriate places and appropriate levels democracy is good So at the village and the township level they have democracy it is a universal franchise They approve a slate of candidates and they have fierce elections fierce campaigning and those who are incompetent or arrogant or despotic they get chucked out But once you reach the level of the cities and the provinces they say no No direct democracy Why not Because they do not believe with their view of the universe that that is the way to produce good government Any more than the Catholic Church believes that the way to elect the Pope is through universal franchise That the parishioners should decide who should be the parish priest The Parish Council maybe that s ok But the parish priest Bishops Universal franchise That s against God s laws They have that kind of instinct embedded in them it is not Communist it is just Chinese And they know that too much democracy invariably leads to localitis of favouritism towards friends relatives people who are from the same villages whom we have a relationship with We have the same problem in Singapore in fact this problem exists throughout East Asia Till today apart from Singapore among Chinese communities and among many East Asian communities the idea that ultimate control of the business should go outside the family is unpersuasive You talk to Li Ka shing you talk to Kwok you talk to Lim Soe Liong you talk to any of them they will go back to the family Why Because they believe that in the end what matters at the deepest level is trust And the family guarantees you that trust This is also the Indian wisdom So you have the Marwaris controlling the economy of Calcutta you have the Parsees you have Sindhis of which Kishore is a member you have the Chettiars They operate on the basis of deep trust and at a completely different level from that of contract law And because they distrust local affiliations in two dynasties Ming and Qing no senior official could serve within miles of where he was born No local official to serve within miles so in other words in Singapore no Singaporean can govern Singapore They go beyond that today there s almost no province in China where the provincial leader is from that province Now you consider this you transpose this onto Europe it s as if routinely the President of France is not French And if you are a German you are disqualified as a Chancellor of the Republic And an Italian cannot be trusted to serve in Rome Ancient wisdom What is remarkable is this is accepted as legitimate If you are Cantonese and you have a Northener squatting over you you do not consider it perverse or an abomination This is part of life and in fact you are more likely to have impartial governor than if a local boy were to be there because he is more likely to favour those who are related to him or those who are his friends So when you talk democracy to the Chinese it is against this cultural backdrop So what applied to the Qing dynasty the Ming dynasty they have taken a step further recently in China They introduced even more rules governing the circumstances under which you are disqualified from serving in the area near where you were born You can t stay in a ministry for too long you can t stay in a department for too long beacuse if you stay too long you develop affiliations and those affiliations will result in sidedoors and guanxi and corruption Of course many of these rules will still be breached and there will be scandals from time to time and they will act on those scandals For as long as the central leadership is pristine the system can be maintained But one day they will become corrupt as in so many previous dynasties and a downward spiral begins And it is very difficult in that situation to reverse it So I mentioned at the table that for India it s not a country that can sustain a revolution because its deep structure would not allow for it I think China is a country which can only be renewed through periodic revolutions Kishore asked me when I said well maybe in years time because these are long cycles and they expect as a matter of course that the history of the People s Republic would not be written by the People s Republic It will be written by the next dynasty Except that right now they say we shouldn t call it a dynasty we are now democrats we are a republic there is no Emperor Well whatever term you call it it will be done much later Let me now talk about their attitude towards religion Being a Roman Catholic I follow quite closely the ups and downs in their relationship with the Vatican and I find it quite fascinating The Jesuits when they went to China in the Ming dynasty hoped that they could convert the Emperor and all of China would become Catholic and a great mission would have been achieved They never succeeded Some of the brightest minds from Europe went there Matteo Ricci he corrected the Chinese calendar he repaired the clocks in the palace he saw the throne but he never got to meet the Emperor and he died in China And his tomb it s in the compound of the Beijing Party School today And the church which he founded is still there today Li Matou that s what he called himself he applied for permission to be buried in China and he was given that permission Then when the Manchus swept southwards in the missionaries thought now they had a chance the Manchus will be a bit more accomodating towards us we will yet Christianise China So if you read the despatches of the missionaries during that period the Tartar Wars they described it they were full of hope But not a chance They appealed to the Second Emperor Kangxi Can we send more missionaries No problem Can we have them all report to a papal legate in Beijing No such thing The Emperor imposed one condition you can send as many priests as you want to China but they must die in China they cannot leave after that You see instinctively the Chinese when they see the Catholic Church they see someone like themselves someone whose claim to its members is total And for whom that loyalty is a jealous one Mind you they do not try to control everything they just control the big things dogma doctrine After that you are left on your own and you are financially independent but on the big issue of who appoints ministers and provincial secretaries it s the same as the Pope appointing Bishops and Bishops ordaining Priests and governing this vast empire whether we re talking about the Chinese empire or the Catholic empire They have about the same number of members in the world which is why their interaction is a complex and difficult one And over the appointment of Bishops both seek ultimate authority In the end they have got to find a way to resolve it I can anticipate the Vatican s argument that we are not of this realm we are of the other realm so please we are not in conflict As for the Chinese leaders their attitude towards religion from the earliest days is to keep religion at arm s length Those who govern the empire they are areligious they can have private religions but in matters of their public conduct they are Confucianist In public you are not a Catholic you are not a Muslim you are not a Buddhist When the Jesuits went to China they were very impressed by this that it was possible to create a moral order based not on religion but on ethics So impressed that they wrote about it and influenced people like Voltaire and the other Encyclopedists It helped inspire the Frence revolution that you could get rid of the Church and still maintain a moral order in society I ve talked about China and law China and democracy China and religion now let me talk about China and foreign policy which is perhaps your greatest interest about which I can only talk about generally because you are the experts in this field I think it s very difficult for the Chinese to break from their old mindset that they are Zhong Guo the Middle Kingdom they are at the center of the Universe then there are the other chopsticks peoples who are semi Sinic I think they consider Singapore to be semi Sinic Then there are those who are beyond that realm who are what the Greeks would have called Barbarians The Mongols the Manchus the Europeans the Americans the Indians and so on Now all that jargon of course is not in use today They are very civilised they will welcome you with great hospitality lavish dinners very courteous words offering you the best of everything in the house It reminded me of the way my mother used to teach us at home we were a big family and the stranger has got to be treated well the visitor has to be treated well because you are afraid of the visitor So you always treat visitors better than your own family members because the visitor is capricious he can harm you so make sure you fit him in Those who are within your authority you can always maintain order anyway This is the way in their minds the universe is ordered So I can understand why the Koreans the Japanese the Vietnamese to some extent the Singaporeans they feel uncomfortable about what they see as a repetition of a pattern they have seen many times before in the past Will the Chinese change this principle of foreign policy I think they have because never in their history have they met have they existed in close contact with competing centers of power with the US with Europe India and you are no longer separated by oceans which cannot be crossed mountains which cannot be crossed now they are connected So they are making adjustments It will be interesting to watch how they handle their Olympics if the Olympics become an exercise of pure Chinese nationalism I think the international reaction against China will be very severe But I think the Chinese will be sophisticated I expect they will organise cheer teams for the Americans for the Japanese so that there is an appearance of courtesy and common humanity They are very careful to ensure that their words fit conditions today But let me say in their defence that many of these methods they use arise out of fear not out of a desire to dominate If you analyse the old tributary system those who sent tributes got more than they gave in return It became a racket So the Japanese merchants competed to get tokens from Ryukyu in order to be able to do the China trade because it meant a lot of money The Chinese are fearful of foreigners They are fearful of the Russians to the north the Muslims to the West the Indians across the Himalayas but mostly the Americans across the Pacific Their strategy is to keep the temperature low low profile hide the shine of your armour the shine of your sword just play the game and concentrate on economic development Internally will they make preparations I have no doubt because they have a deep fear Is their intention to dominate to conquer the way the European powers did in the past I don t think so I don t think there is a great desire to turn non Chinese Chinese Maybe Korea maybe Vietnam maybe Mongolia who at various points in time were part of their greater empire they might consider worth civilising But beyond that Sinicising Indians Russians No I don t think they will want to do that So as they now become stronger and more powerful I believe that while their old nature will re assert itself they will also be reacting to us If they find the world a threatening place they will develop their own responses to those threats Quite early in the day they wanted to neutralise Southeast Asia Asean It had never been an area which threatened them historically So they didn t worry about Southeast Asia as a threat But resources sea lanes they go through Southeast Asia And they made a dramatic move a few years ago Zhu Rongji was here for the ASEAN China summit He said free trade agreement At that time when he announced it the leaders of ASEAN almost fell off their chairs We thought of China an economic threat to us Not as a partner Took us almost a year to digest the implications and to say yes let s negotiate Step by step And all the time China was assuring us that we would benefit more than they would benefit When the Framework Agreement was signed by Zhu Rongji in in Phonm Penh he made two remarkable statements He said if after years the agreement benefits China more than it benefits Southeast Asia let us renegotiate it I can never imagine the American USTR or the European Trade Commissioner talking like that I mean in a contract a deal is a deal it s settled for eternity Then he said China does not seek for itself an exclusive position in Southeast Asia so he acknowledged that we were not just going to date one girl we intended to be promiscuous from the beginning Towards Northeast Asia I think it is very complicated because there is so much history and legacy Towards Central Asia towards Russia they have deep fears Towards America it has become a relationship bound together at so many points a rupture would become more and more unthinkable But it is going to be a very difficult relationship it will be the most important and most difficult relationship to manage in this century If it s badly managed there will be war if it s properly managed there will be another generation of peace and hundreds of millions of people in the world would be raised out of the depths of poverty In this area you are the experts but whenever I see China and watch its moves I go back to its deep nature because it s not easy for a country so vast with such a sense of itself to depart too much from its deep nature Thank you Yeo On Mon Apr at PM H HDR clintonemai com wrote Michele I look forward to getting together to discuss a number of issues Thanks for following up w Her email All the best Hillary Jacqueline President Long Term Strategy Group Eliot St Cambridge MA fax www ltstrategy com
1598,Re: Letter to Lautenberg,The letter is good to go w me HRC
1599,Re: Letter to Lautenberg,Based on the Brazilian decision he should release the hold Do I need to call him
1600,Re: Personal,Yes We had Jim raise this with the Greek ambassador yesterday who told him that they were aware of the situation and would come back with a report when Jim got to Corfu
1601,Fw: 2-pager,See comments on AMS document I left on you chair today Jim and torn F comments in email below Cdm
1602,Good news,Rich reports that and Dan were confirmed tonight
1603,FW: couple edits - DEREK CHOLLET's EDITS,s comments again in redline in text so Oscar should print so you can see them cdm
1604,Fw: Nominations Today,Fyi
1605,FW: any word yet - she's heading over shortly,FYI
1606,Re: Personal,I will is keeping Solomon informed he passed along a readout of Jim s conversation yesterday
1607,Re: Brazil and Mexico,Tom backgrounded them yesterday in the briefing room not certain but don t think he put down any groundwork on this specifically But in terms of setting expectations it would be a combo of a few overt and not overt things Seeing what Admin For Pol Members of Congress are on TV today and the shows tomorrow all we need is one person to float it We have flight time tomorrow when Tom can do it on background or OTR There s one blogger that folks loosely follow I know how to get her something through a rd party I have to talk to a few of our guys today like Matt Lee on misc stuff and I m sure he ll ask me something about the OAS where I can easily say the folks in WHA are real pessimistic And our travelers traffic info among themselves The best thing to put out there would be the notion that there are those who don t think you should go If you don t you don t But if you do you chose to be direct to make a principled stand Shouldn t be too tough because the notion of Cuba being voted in is something they will WANT to believe it ll make good copy And it makes it easier to explain any decision outcome
1608,Father Beirne,When he comes in let s have him for lunch w a small group including Mark Landler
1609,FW: 2009-07-10 JJS speech 2 - DENNIS ROSS COMMENTS FOR IRAN,Dennis comments below and but primarily in text in track changes cdm
1610,RE: Does this mean your career as a major league pitcher is over?,We ll meet you in Arizona Sounds like you are doing OK
1611,FW: Fw: 2009-07-10 JJS speech 2 - JIM KENNEDY'S EDITS,Jim s comments on the same draft also in track changes in text cdm
1612,"FW: Speech - PJ Crowley, Sandy, Summary",Below are PJ s comments edits in this email i e no attachment All of s were incorporated in the draft you have except his point that Finally there needs to be a key para that sets forth the lens through which through which you want the speech to be seen We actually are still awaiting s comments on ME para cdm
1613,Re: Brazil and Mexico,Tom s backgrounder definitely played down expectations
1614,tonite,Reminders Marianne at pm confirmed she will get there at
1615,Re: want to talk later today re: cony with Dennis R,I m free now
1616,Re: From ivo daalder,He does know
1617,Calls,Carolyn Maloney called for you And Nita Lowey also wants to talk tonite about the Middle East You can reach both through ops
1618,Fw:,See below monica did confirm I don t know what the confusion could have been I m very sorry Marianne is saying she can late tonite around or tomorrow at pm
1619,Re: Latest on Goldman Decision,When is call
1620,Re: Palau offended by US positions,You ll be happy to know that Jack and I have been working this weekend on of our good friends in Palau They will be getting new numbers in the next round of negotiations I will stay on top of it though no matter what I don t think they will be percent satisfied
1621,Re: Handover in SCA - May 15,Pat and I are looking at this will check in am B
1622,Re: Aid dir,No I m in Dubrovnik a ASPEN CONF Home sun day after pm Can be reached on Mon Look forward to connecting Sent from my BlackBerry Wireless Handheld
1623,Overarching message,As the conversation with these two ministers unfold you might make the point that we have come a LONG way on Cuba so far and it would be really unfortunate to jam or embarrass President Obama after all the steps he s taken especially since what we are seeking is an entirely reasonable result Agreeing to lift the sanction is a BIG step
1624,Re: Secure fax,Ok When will I call Okada Kusa Robinson and McGuinness Kouchener
1625,Re: Secure fax,Only Napolitano memo came thru
1626,Fw: Mexico City to suspend public gatherings (SBU),Fyi
1627,Fw: Brookings request,Per your strobe request regarding a june meet with board
1628,Out of Office AutoReply:,I will be out of the office For urgent matters please contact reinesp state gov Thanks
1629,"Calls, holds and votes",Spoke w Snowe about Patriarch and McConnell about Af Pak and nominees especially Raj Tom and Phil He said h ed check on our nominees do we expect vote today How was Mary Poppins
1630,Mini Schedule 4/29/09,am DEPART Private Residence En route State Department am ARRIVE State Department am FOOD SECURITY BREAKFAST w MEMBERS OF CONGRESS am Jefferson Room th Floor am PRESIDENTIAL DAILY BRIEFING am Secretary s Office am DAILY SMALL STAFF MEETING am Secretary s Office am PRE BRIEF FOR THE WEEKLY MEETING w THE PRESIDENT am Secretary s Office am OFFICE TIME pm Secretary s Office pm SWEARING IN CEREMONY FOR KARL EIKENBERRY pm U S AMBASSADOR TO AFGHANISTAN Benjamin Franldin Room th Floor pm SPEECH PREP MEETING pm Secretary s Office pm DROP BY w JOSETTE SHEERAN ED UN WORLD FOOD PROGRAM pm Secretary s Conference Room pm DROP BY w MICHELE KWAN PUBLIC DIPLOMACY ENVOY pm Secretary s Office Official photo at top pm LONG TERM SCHEDULING MEETING pm Secretary s Office pm MEETING w AFL CIO PRESIDENT JOHN SWEENEY pm Secretary s Office pm HEARING PREP MEETING pm Secretary s Office pm DEPART State Department En route Private Residence
1631,Re: Secure fax,When will you be ready to talk schedule
1632,Re:,Will do Sent from my BlackBerry smartphone with SprintSpeed
1633,Re: Bolivia,Not yet I ll check in with Tom but he expected to hear from this evening In other news one of the major loyalist paramilitaries announced its full disarmament today we re getting out a statement soon We also will have points and background for a Woodward call
1634,Tom,Reached out tom about your calls this morning He reports that the Mexicans are appreciative for the call and are energized They are reaching out to others to try to find a helpful solution Amorim called the Brazilian Ambassador here who tom spoke to after your call Amorim was very happy with the call especially the detailed discussion of possible solutions He professed a desire to work with you to resolve this issue Brazil recognizes that it is being tagged as the blocker on democratic language and wants to get out of the way That explains Amorim s heavy push to give this issue back to Insulza Torn told the Brazilian Ambassador that Insulza has a big credibility problem in our Congress and that we Brazil Mexico and others cannot walk away from the issue This was being relayed back to Amorim Among a core group of countries there is a growing realization that lack of consensus could be very damaging for the OAS and its members Tom thinks your calls have injected new urgency the search for a solution He will be sending a classified update on the latest in a few hours We will pouch to the house
1635,"Re: can you hang up the fax line, they will call again and try fax",I thought it was supposed to be off hook to work
1636,"Re: can you hang up the fax line, they will call again and try fax",I did
1637,Re: Any OAS News?,We r tracking down cheryl Will have a report in min
1638,"Re: can you hang up the fax line, they will call again and try fax",I ve done it twice now
1639,"Re: can you hang up the fax line, they will call again and try fax",Still nothing Call Oscar if they need help I ll be out of pocket for an hour or so
1640,RE: Reporting in,either works I can talk now and I can talk tomorrow am too you want me to call cdm
1641,Re: Secure fax,Ok No need to rush it if you can t get info just tell me what day we would leave and return Thx
1642,Re: Bolivia,will see Morales tomorrow We ll get you a readout shortly after the mtg concludes
1643,Re: Clips,Back to two columns it is
1644,Re: Merry Christmas,Ho Ho Ho Don t forget the partridge in the pear tree Thx for a great year and here s to an even better I hope you enjoy the holidays and get rested up for another wild ride All the best Hillary
1645,Fw: Ye of little FAITH: Hello from INTERPOL,Fyi
1646,Re: message back from our friend,Will do
1647,New Zealand,I just received your request that I call Sec Gates re our mil mil relations He is on vacation and it may take a few days to schedule a non urgent call What is our timeline on this HRC
1648,RE: No WH mtg,I will start calling Matt before small groups to confirm
1649,London Conference,just told me he was going to London on w Lute Liz Sherwood Randall and maybe Michele Flournoy Do you think Phil and Jack or you should go
1650,Re: London Conference,Ok
1651,Re: Picking up work,Thanks Will do
1652,Tom shannon wants to talk to u as soon as possible.,
1653,Re: Jack lew is asking to do a budget call at 7pm. Does that work?,I could do at or if that s ok
1654,Re: Jack lew is asking to do a budget call at 7pm. Does that work?,Jack said you had told him I could call the POTUS tonight about the budget Did you reach out to the White House about the call
1655,RE: message back from our friend,Great All the best to you its fantastic to see you doing so well and when I see what a difference you are making it remindsme why politics is too important to be left to the bad people Sent from my HTC Touch Pro
1656,o Re: Jack lew is asking to do a budget call at 7pm. Does that work?,Yes but it may be too late tonight so also ask about tomorrow It s about the budget and the OMB are anxious to close so I need to reach him in the next hours since Jack just got the final word
1657,Re: Jack lew is asking to do a budget call at 7pm. Does that work?,I m waiting for Jack s talking points which I have to have before the call Can you make sure he emails them to me at this address and copies If he has a fax that s ok to do in addition
1658,Re: Jack lew is asking to do a budget call at 7pm. Does that work?,I just got them
1659,RE: No WH mtg,We just addressed with hrc Matt isn t part of the process and said he didn t want to get this lane he was filling in for Sarah who is out today This is no longer a regular meeting so when it does need to be scheduled lona will add accordingly
1660,Reminder that today is s birthday B6,
1661,Just saw lippert - he is interested ...,had not told me he told him more later Sent via BlackBerry by AT T B
1662,FW: Bravo,See traffic from bottom up
1663,Fw: Honduran President Zelaya Reportedly Seized by Armed Forces,Update from tom
1664,Today,Great job hearing like the D s There is tepid support for the afghan policy bcause of issues I raised boxer lowey and me want to do more for women but Developement is Thee issue in any part of world AID needs rebuilding and recapitalizing any thing you want me to be doing with Leahy Where are we on a Director Health Care HELP Comm is moving beakneck speed to have bill by one Miss having you But wow k miles counties That s quite a listening tour Sent from my BlackBerry Wireless Handheld
1665,Re: WHEELS UP on GOLDMAN,Yes
1666,Re: CFR draft,Will do On Jul at AM H wrote Thanks so much Pls send it to me at same time so I can review as well
1667,Re: Joe DiMento,Ok
1668,Re: END OF THE GOLDMAN CASE,I m forwarding to Rob and to see if we can get letters done this am typed is fine
1669,Re: IG Report,What s the full story on this
1670,Re: Fyi - press clips won't come today or tomorrow cause of holiday,Ok
1671,NK terror list,Just heard from Rich that Brownback has placed a hold on until he gets a vote on restoring NK to the terrorism sponsorship list I ve made sure knows
1672,Re: Trying to call you--call me thru ops.,I m trying but so far no luck Will let you know
1673,Re: Trying to call you--call me thru ops.,Just tried it but got a request for my mailbox on the system Is this right
1674,Re: Trying to call you--call me thru ops.,He told me that if the letters were delivered he would lift hold on Raj but not others Can you verify
1675,Re: Setting a time to speak,Aren t I lucky
1676,Re: Trying to call you--call me thru ops.,Can we still get him confirmed today
1677,Re: Trying to call you--call me thru ops.,Thank you Will your team call people to tell them and explain to the Geneva folks what happened
1678,Re: END OF THE GOLDMAN CASE,Thank you for all of your great wprk this year And Merry Merry Christmas See you in
1679,Re:,That s fine How are you doing
1680,Re:,Wow what a great getaway idea Are you staying for a few days
1681,Melanne's event was wonderful. Get Shaun Woodward's memo? Miliband interview,below Sid http www guardian co uk politics jun david miliband gordon brown labour leadership print The Guardian Miliband Labour is facing the fight of its life Foreign secretary thought about quitting the government in last week s turmoil Miliband expressed his frustration at a lack of vision from the Labour leadership Photograph Martin Godwin Voters still don t know what Labour and Brown stand for Miliband admits today as he reveals how close he came to quitting the government during last week s turmoil at Westminster Speaking to the Guardian at the end of extraordinary days the foreign secretary says the party s high command was given an electric shock by the disastrous European election results and he urges fellow ministers to get out and prepare for the fight of our life But Miliband also concedes that he considered following his close friend and ally Purnell who resigned from the government last week and called for the prime minister to stand down Miliband said I d made my decision on Sometimes you can make your decisions with great planning and calculation and sometimes you have to make them rather more quickly made his decision in good faith I made my decision in good faith we all have tolive with our decisions The Labour party has a settled view of who should be leader he said This divides people who are close and people feel passionately one way and people feel passionately the other way Describing the task now facing Labour he says It could not be more urgent that there is a maximum of months until the next general election that we got of the vote nationally last week that we came second in Wales and that one in people voted for us If that does not electric shock us out of our ministerial chairs to think By God we have got the fight of our life on our hands because whatever the Tories are they certainly don t deserve a landslide then nothing will Miliband has not given a domestic policy interview for nearly nine months since he felt dogged by accusations that he was manoeuvring for the premiership He refuses to acknowledge that his decision to back Brown last week saved the prime minister saying it is impossible to tell But the foreign secretary feels his loyalty has given him the freedom to speak his mind without his motives being questioned by anyone in Downing Street Miliband betrays frustration at the absence of a clear Labour vision saying We need the message to go out that we have got the humility to learn about what has gone wrong It is not a masochism strategy It is about saying what we believe in It is about clarity priority adding up to purpose I know what we stand for I know what our instincts are but the voters don t Actually I know what Brown stands for We have a responsibility to make sure that come the election voters know what Labour stands for We were not being listened to people felt that they had been forgotten we neither inspired nor reassured He calls for cabinet colleagues to show stronger leadership in the battle to restore Labour s fortunes We need to make sure the talents and energies of not just the whole of the cabinet but the whole of the labour movement are give n free rein because one in people voted for us The truth is that we are not automatons We all have to get out there Asked whether he felt voters had stopped listening to Brown Miliband said He himself has said he has to build on his strengths and work on his weaknesses That is a good maxim for all of us He is someone who made the right decisions on the biggest issue of the day We have got a chance to fight with honour and dignity for what we believe in The stakes are very high because we know that parties can slump very dangerous positions Providing what he describes as a route map from the disaster he said Labour first needs a period of competent effective stable government secondly we need to reset our political compass so ministers are no longer locked in their departments but link their policies to their values and thirdly the government has to be at the cutting edge of policy On the issue of political reform he demands a speeding up of the pace of political reform saying it is not a piece of middle class frippery For the first time he reveals that he now backs the Alternative Vote for the Commons saying MPs legitimacy will be strengthened by being able to say in my constituency voted for me He says the change cannot be made before the general election He also backs a fresh push on Lords reform saying we have got an agreed blueprint He rounded on Tory spending plans but said Labour would clarify its own intentions before the election They will be credible and clear We will come to that in an open and honest way But he defends delay in setting out these figures arguing when you are in the middle of a Tornado it is a bad time take a forecast In an oblique reference to the Damian McBride briefings he also calls on the media to abandon unattributable briefings saying all politicians spokesmen should be named or not quoted by media outlets The gotcha culture of politics is not in anyone s interests he said Shop Dell s full line of Laptops now starting at
1682,Re: Anything to report?,No news richard asked you talk to you tonite
1683,Re: Happy Holidays!,Are you calling me
1684,Re: (Reuters) Taliban Planned to Use Americans In Pakistan Attacks,B
1685,Re: Call list,B
1686,Re: WPost editorial,Thx Mike
1687,Potus statement is out,THE WHITE HOUSE Office of the Press Secretary For Immediate Release Statement from President on the situation in Honduras I am deeply concerned by reports coming out of Honduras regarding the detention and expulsion of President Mel Zelaya As the Organization of American States did on I call on all political and social actors in Honduras to respect democratic norms the rule of law and the tenets of the Inter American Democratic Charter Any existing tensions and disputes must be resolved peacefully through dialogue free from any outside interference nc
1688,FW: A Note from,RELEASE IN PART B
1689,Re:,Why B c it reminds you of someone we now and love aka you
1690,Fw: What time is it in Manilla - Are you awake?,Fyi iam going to ask her to head up the qddr organization process with and on diplomacy side we re looking but will be desi nated to be second to that person on develpoment this woman that jack and I interviewed and maybe if she will and the the advisory groups we discussed Will fill you in as we know more by monday
1691,Fw: Funeral of Pres. Aquino - Potential Presidential Delegation,Do you want anyone added or deleted
1692,Calls,Russians saying lavrov unavailable and they don t know when he will call back Also feingold called asking if u can talk before
1693,#s,Most interesting observation of the day from State A statistical analysis of the data issued by the ministry of interior suggests a perfect linear relationship between votes received by Ahmadinejad and Mousavi with an r squared value of a near impossibility in nature This suggests that the ballots were never counted or were abandoned after it was clear Ahmadinejad was going to lose Statistically it is impossible to maintain such a perfect linear relationship consistently through all stages of vote counting We would expect variation as the votes were coming in due to differences expected between the cites and the country side and hetereogeneity amoung ethnic groups This to me is the most concrete evidence I have seen
